11, 9/9, 2, 1/3, 2, 1, NONE, reachable, 262
13, 9/9, 1, 1/3, 2, 1, NONE, reachable, 221
31, 9/9, 1, 1/3, 2, 1, NONE, reachable, 277
13, 9/9, 1, 1/3, 2, 1, NONE, reachable, 361
14, 9/9, 1, 1/3, 2, 1, NONE, reachable, 202
25, 9/9, 2, 1/3, 2, 1, NONE, reachable, 216
15, 9/9, 1, 1/3, 2, 1, NONE, reachable, 378
16, 9/9, 2, 1/3, 2, 1, NONE, reachable, 213
14, 9/9, 2, 1/3, 2, 1, NONE, reachable, 210
21, 9/9, 2, 1/3, 2, 1, NONE, reachable, 381
12, 9/9, 1, 1/3, 2, 1, NONE, reachable, 208
13, 9/9, 1, 1/3, 2, 1, NONE, reachable, 204
14, 9/9, 1, 1/3, 2, 1, NONE, reachable, 376
10, 9/9, 2, 1/3, 2, 1, NONE, reachable, 220
13, 9/9, 1, 1/3, 2, 1, NONE, reachable, 213
21, 9/9, 2, 1/3, 2, 1, NONE, reachable, 389
15, 9/9, 1, 1/3, 2, 1, NONE, reachable, 214
14, 9/9, 12, 9/9, 1, 1/3, 2, 1, NONE, reachable, 213
13, 9/9, 1, 1/3, 2, 1, NONE, reachable, 220
12, 9/9, 1, 1/3, 2, 1, NONE, reachable, 210
13, 9/9, 1, 1/3, 2, 1, NONE, reachable, 266
13, 9/9, 2, 1/3, 2, 1, NONE, reachable, 211
14, 9/9, 2, 1/3, 2, 1, NONE, reachable, 210
12, 9/9, 1, 1/3, 2, 1, NONE, reachable, 308
13, 9/9, 1, 1/3, 2, 1, NONE, reachable, 201
14, 9/9, 1, 1/3, 2, 1, NONE, reachable, 212
13, 9/9, 2, 1/3, 2, 1, NONE, reachable, 309
14, 9/9, 1, 1/3, 2, 1, NONE, reachable, 208
13, 9/9, 1, 1/3, 2, 1, NONE, reachable, 219
21, 9/9, 1, 1/3, 2, 1, NONE, reachable, 314
15, 9/9, 2, 1/3, 2, 1, NONE, reachable, 202
23, 9/9, 1, 1/3, 2, 1, NONE, reachable, 213
14, 9/9, 1, 1/3, 2, 1, NONE, reachable, 324
13, 9/9, 2, 1/3, 2, 1, NONE, reachable, 209
13, 9/9, 1, 1/3, 2, 1, NONE, reachable, 211
12, 9/9, 2, 1/3, 2, 1, NONE, reachable, 318
13, 9/9, 1, 1/3, 2, 1, NONE, reachable, 207
19, 9/9, 1, 1/3, 2, 1, NONE, reachable, 206
14, 9/9, 1, 1/3, 2, 1, NONE, reachable, 328
14, 9/9, 2, 1/3, 2, 1, 14, 9/9, 1, 1/3, 2, 1, NONE, reachable, 213
11, 9/9, 2, 1/3, 2, 1, NONE, reachable, 357
18, 9/9, 2, 1/3, 2, 1, NONE, reachable, 219
12, 9/9, 1, 1/3, 2, 1, NONE, reachable, 208
15, 9/9, 1, 1/3, 2, 1, NONE, reachable, 322
14, 9/9, 2, 1/3, 2, 1, NONE, reachable, 206
19, 9/9, 2, 1/3, 2, 1, NONE, reachable, 211
17, 9/9, 1, 1/3, 2, 1, NONE, reachable, 367
13, 9/9, 1, 1/3, 2, 1, NONE, reachable, 208
14, 9/9, 2, 1/3, 2, 1, NONE, reachable, 216
14, 9/9, 1, 1/3, 2, 1, NONE, reachable, 372
15, 9/9, 2, 1/3, 2, 1, NONE, reachable, 207
14, 9/9, 2, 1/3, 2, 1, NONE, reachable, 196
12, 9/9, 1, 1/3, 2, 1, NONE, reachable, 370
14, 9/9, 2, 1/3, 2, 1, NONE, reachable, 207
12, 9/9, 2, 1/3, 2, 1, NONE, reachable, 198
12, 9/9, 1, 1/3, 2, 1, NONE, reachable, 304
12, 9/9, 1, 1/3, 2, 1, NONE, reachable, 209
12, 9/9, 2, 1/3, 2, 1, NONE, reachable, 199
14, 9/9, 2, 1/3, 2, 1, NONE, reachable, 312
14, 9/9, 2, 1/3, 2, 1, NONE, reachable, 213
14, 9/9, 1, 1/3, 2, 1, NONE, reachable, 200
13, 9/9, 2, 1/3, 2, 1, NONE, reachable, 320
17, 9/9, 2, 1/3, 2, 1, NONE, reachable, 197
14, 9/9, 2, 1/3, 2, 1, NONE, reachable, 215
13, 9/9, 2, 1/3, 2, 1, NONE, reachable, 324
13, 9/9, 1, 1/3, 2, 1, NONE, reachable, 213
19, 9/9, 1, 1/3, 2, 1, NONE, reachable, 208
13, 9/9, 1, 1/3, 2, 1, NONE, reachable, 322
15, 9/9, 1, 1/3, 2, 1, NONE, reachable, 226
18, 9/9, 2, 1/3, 2, 1, NONE, reachable, 183
14, 9/9, 1, 1/3, 2, 1, NONE, reachable, 246
17, 9/9, 1, 1/3, 2, 1, NONE, reachable, 189
10, 9/9, 1, 1/3, 2, 1, NONE, reachable, 246
11, 9/9, 2, 1/3, 2, 1, NONE, reachable, 182
13, 9/9, 1, 1/3, 2, 1, NONE, reachable, 187
13, 9/9, 2, 1/3, 2, 1, NONE, reachable, 379
12, 9/9, 2, 1/3, 2, 1, NONE, reachable, 192
13, 9/9, 1, 1/3, 2, 1, NONE, reachable, 184
19, 9/9, 1, 1/3, 2, 1, NONE, reachable, 191
13, 9/9, 1, 1/3, 2, 1, NONE, reachable, 174
52, 9/9, 1, 1/3, 2, 1, NONE, reachable, 300
13, 9/9, 1, 1/3, 2, 1, NONE, reachable, 186
16, 9/9, 1, 1/3, 2, 1, NONE, reachable, 175
15, 9/9, 2, 1/3, 2, 1, NONE, reachable, 261
12, 9/9, 1, 1/3, 2, 1, NONE, reachable, 181
26, 9/9, 2, 1/3, 2, 1, NONE, reachable, 235
12, 9/9, 2, 1/3, 2, 1, NONE, reachable, 182
20, 9/9, 1, 1/3, 2, 1, NONE, reachable, 188
